name,state,vertical,summit,base,lifts,trails,longest_run,snowboarding,terrain_park,half_pipe,annual_snowfall,snowmaking,skiable_area,green,blue,black,double_black,xc,tubing
pines-peak,indiana,150,868,,4,8,1200,1,0,0,36,100,,,,,,0,1,
fun-valley,iowa,240,1240,1000,5,14,1500,1,1,1,30,100,35,40,40,20,,0,1,
mt-crescent,iowa,300,1500,1200,4,9,2200,1,1,1,30,100,40,33,34,33,,0,1,
nor,iowa,250,,,3,6,1200,1,0,0,,,30,50,34,16,,0,0,
riverside-hills,iowa,190,,,3,6,1400,1,0,0,60,100,40,20,40,40,,0,0,
riverside-hills,iowa,190,,,3,6,1400,1,0,0,60,100,40,20,40,40,,0,0,
seven-oaks,iowa,275,,,3,11,1800,1,1,1,30,100,30,20,40,40,,0,0,
sleepy-hollow,iowa,150,,,6,10,1000,1,1,0,,100,,,,,,0,1,
sundown-mountain,iowa,475,1059,584,5,22,4000,1,1,1,45,100,55,40,40,15,5,1,0,
al-quaal-recreation,michigan,70,,,2,2,600,1,0,0,160,,20,50,50,,,2,0,
alpine-valley,michigan,300,1210,910,17,25,2000,1,1,1,35,100,118,39,26,35,,0,1,
apple-mountain,michigan,200,820,600,6,12,1000,1,1,1,52,100,40,40,40,20,,0,0,
big-powderhorn,michigan,600,600,1200,9,26,5280,1,1,1,214,85,250,35,35,30,,17,0,
bittersweet,michigan,400,,,12,17,2700,1,1,0,80,100,110,30,60,10,,0,0,
blackjack,michigan,465,1640,1175,6,20,5300,1,1,1,210,85,101,20,40,40,,0,0,
boyne-highlands,michigan,545,1290,745,10,46,5200,1,1,1,140,100,250,37,29,31,3,25,1,
caberfae-peaks,michigan,485,1545,1060,6,31,3960,1,0,0,125,100,200,35,33,32,,15,0,
cannonsburg,michigan,250,,,11,18,1500,1,1,1,100,100,100,35,50,15,,0,0,
crystal-mountain,michigan,375,1132,757,8,34,2640,1,1,1,125,98,65,19,51,30,,40,0,
gladstone-sports-park,michigan,130,,,5,6,850,1,1,1,20,100,30,60,40,,,5,1,
hanson-hills,michigan,225,,,4,11,2640,1,1,1,60,75,125,50,50,,,35,1,
hickory-hills,michigan,240,973,733,5,8,1500,1,0,0,150,60,35,5,65,30,,5,0,
